"MESEC";"DAN V MESECU";Živorojeni
"2009M01";"1";47
"2009M01";"2";44
"2009M01";"3";49
"2009M01";"4";48
"2009M01";"5";80
"2009M01";"6";82
"2009M01";"7";71
"2009M01";"8";60
"2009M01";"9";74
"2009M01";"10";50
"2009M01";"11";48
"2009M01";"12";78
"2009M01";"13";65
"2009M01";"14";55
"2009M01";"15";65
"2009M01";"16";70
"2009M01";"17";58
"2009M01";"18";37
"2009M01";"19";75
"2009M01";"20";63
"2009M01";"21";47
"2009M01";"22";63
"2009M01";"23";71
"2009M01";"24";65
"2009M01";"25";62
"2009M01";"26";61
"2009M01";"27";62
"2009M01";"28";46
"2009M01";"29";62
"2009M01";"30";67
"2009M01";"31";54
"2009M02";"1";45
"2009M02";"2";64
"2009M02";"3";73
"2009M02";"4";52
"2009M02";"5";53
"2009M02";"6";64
"2009M02";"7";49
"2009M02";"8";43
"2009M02";"9";61
"2009M02";"10";61
"2009M02";"11";51
"2009M02";"12";65
"2009M02";"13";61
"2009M02";"14";47
"2009M02";"15";55
"2009M02";"16";66
"2009M02";"17";56
"2009M02";"18";55
"2009M02";"19";55
"2009M02";"20";56
"2009M02";"21";49
"2009M02";"22";45
"2009M02";"23";61
"2009M02";"24";46
"2009M02";"25";52
"2009M02";"26";56
"2009M02";"27";58
"2009M02";"28";39
"2009M02";"29";-
"2009M02";"30";-
"2009M02";"31";-
"2009M03";"1";43
"2009M03";"2";62
"2009M03";"3";72
"2009M03";"4";70
"2009M03";"5";64
"2009M03";"6";63
"2009M03";"7";53
"2009M03";"8";44
"2009M03";"9";60
"2009M03";"10";65
"2009M03";"11";44
"2009M03";"12";59
"2009M03";"13";72
"2009M03";"14";48
"2009M03";"15";37
"2009M03";"16";49
"2009M03";"17";52
"2009M03";"18";55
"2009M03";"19";66
"2009M03";"20";62
"2009M03";"21";46
"2009M03";"22";40
"2009M03";"23";60
"2009M03";"24";61
"2009M03";"25";68
"2009M03";"26";49
"2009M03";"27";79
"2009M03";"28";43
"2009M03";"29";49
"2009M03";"30";71
"2009M03";"31";61
"2009M04";"1";50
"2009M04";"2";78
"2009M04";"3";71
"2009M04";"4";41
"2009M04";"5";51
"2009M04";"6";63
"2009M04";"7";65
"2009M04";"8";49
"2009M04";"9";66
"2009M04";"10";64
"2009M04";"11";44
"2009M04";"12";56
"2009M04";"13";47
"2009M04";"14";72
"2009M04";"15";68
"2009M04";"16";57
"2009M04";"17";61
"2009M04";"18";49
"2009M04";"19";58
"2009M04";"20";65
"2009M04";"21";57
"2009M04";"22";55
"2009M04";"23";56
"2009M04";"24";51
"2009M04";"25";52
"2009M04";"26";41
"2009M04";"27";46
"2009M04";"28";68
"2009M04";"29";64
"2009M04";"30";79
"2009M04";"31";-
"2009M05";"1";65
"2009M05";"2";39
"2009M05";"3";55
"2009M05";"4";78
"2009M05";"5";66
"2009M05";"6";67
"2009M05";"7";69
"2009M05";"8";75
"2009M05";"9";68
"2009M05";"10";48
"2009M05";"11";54
"2009M05";"12";64
"2009M05";"13";71
"2009M05";"14";59
"2009M05";"15";66
"2009M05";"16";59
"2009M05";"17";47
"2009M05";"18";65
"2009M05";"19";72
"2009M05";"20";66
"2009M05";"21";83
"2009M05";"22";54
"2009M05";"23";41
"2009M05";"24";52
"2009M05";"25";71
"2009M05";"26";68
"2009M05";"27";75
"2009M05";"28";51
"2009M05";"29";61
"2009M05";"30";54
"2009M05";"31";44
"2009M06";"1";62
"2009M06";"2";65
"2009M06";"3";65
"2009M06";"4";72
"2009M06";"5";61
"2009M06";"6";55
"2009M06";"7";41
"2009M06";"8";59
"2009M06";"9";64
"2009M06";"10";77
"2009M06";"11";57
"2009M06";"12";66
"2009M06";"13";49
"2009M06";"14";33
"2009M06";"15";72
"2009M06";"16";51
"2009M06";"17";65
"2009M06";"18";78
"2009M06";"19";58
"2009M06";"20";53
"2009M06";"21";50
"2009M06";"22";70
"2009M06";"23";69
"2009M06";"24";66
"2009M06";"25";70
"2009M06";"26";88
"2009M06";"27";54
"2009M06";"28";52
"2009M06";"29";66
"2009M06";"30";59
"2009M06";"31";-
"2009M07";"1";71
"2009M07";"2";71
"2009M07";"3";79
"2009M07";"4";50
"2009M07";"5";54
"2009M07";"6";68
"2009M07";"7";47
"2009M07";"8";65
"2009M07";"9";78
"2009M07";"10";84
"2009M07";"11";49
"2009M07";"12";44
"2009M07";"13";71
"2009M07";"14";75
"2009M07";"15";70
"2009M07";"16";58
"2009M07";"17";77
"2009M07";"18";69
"2009M07";"19";59
"2009M07";"20";64
"2009M07";"21";73
"2009M07";"22";68
"2009M07";"23";65
"2009M07";"24";74
"2009M07";"25";58
"2009M07";"26";39
"2009M07";"27";78
"2009M07";"28";74
"2009M07";"29";65
"2009M07";"30";73
"2009M07";"31";57
"2009M08";"1";44
"2009M08";"2";51
"2009M08";"3";61
"2009M08";"4";61
"2009M08";"5";74
"2009M08";"6";71
"2009M08";"7";63
"2009M08";"8";51
"2009M08";"9";50
"2009M08";"10";67
"2009M08";"11";52
"2009M08";"12";49
"2009M08";"13";65
"2009M08";"14";67
"2009M08";"15";55
"2009M08";"16";53
"2009M08";"17";69
"2009M08";"18";74
"2009M08";"19";68
"2009M08";"20";76
"2009M08";"21";64
"2009M08";"22";56
"2009M08";"23";48
"2009M08";"24";65
"2009M08";"25";66
"2009M08";"26";60
"2009M08";"27";65
"2009M08";"28";72
"2009M08";"29";49
"2009M08";"30";50
"2009M08";"31";76
"2009M09";"1";61
"2009M09";"2";71
"2009M09";"3";78
"2009M09";"4";63
"2009M09";"5";51
"2009M09";"6";43
"2009M09";"7";66
"2009M09";"8";62
"2009M09";"9";75
"2009M09";"10";70
"2009M09";"11";63
"2009M09";"12";51
"2009M09";"13";56
"2009M09";"14";65
"2009M09";"15";50
"2009M09";"16";70
"2009M09";"17";68
"2009M09";"18";67
"2009M09";"19";58
"2009M09";"20";47
"2009M09";"21";79
"2009M09";"22";80
"2009M09";"23";76
"2009M09";"24";69
"2009M09";"25";79
"2009M09";"26";42
"2009M09";"27";59
"2009M09";"28";70
"2009M09";"29";55
"2009M09";"30";58
"2009M09";"31";-
"2009M10";"1";72
"2009M10";"2";74
"2009M10";"3";58
"2009M10";"4";52
"2009M10";"5";64
"2009M10";"6";64
"2009M10";"7";55
"2009M10";"8";65
"2009M10";"9";61
"2009M10";"10";55
"2009M10";"11";56
"2009M10";"12";44
"2009M10";"13";54
"2009M10";"14";69
"2009M10";"15";67
"2009M10";"16";72
"2009M10";"17";41
"2009M10";"18";41
"2009M10";"19";63
"2009M10";"20";61
"2009M10";"21";58
"2009M10";"22";61
"2009M10";"23";67
"2009M10";"24";60
"2009M10";"25";52
"2009M10";"26";68
"2009M10";"27";58
"2009M10";"28";65
"2009M10";"29";64
"2009M10";"30";80
"2009M10";"31";53
"2009M11";"1";42
"2009M11";"2";61
"2009M11";"3";61
"2009M11";"4";49
"2009M11";"5";57
"2009M11";"6";69
"2009M11";"7";54
"2009M11";"8";56
"2009M11";"9";61
"2009M11";"10";65
"2009M11";"11";56
"2009M11";"12";71
"2009M11";"13";60
"2009M11";"14";43
"2009M11";"15";41
"2009M11";"16";56
"2009M11";"17";57
"2009M11";"18";62
"2009M11";"19";56
"2009M11";"20";51
"2009M11";"21";34
"2009M11";"22";40
"2009M11";"23";66
"2009M11";"24";54
"2009M11";"25";61
"2009M11";"26";61
"2009M11";"27";74
"2009M11";"28";44
"2009M11";"29";50
"2009M11";"30";64
"2009M11";"31";-
"2009M12";"1";63
"2009M12";"2";63
"2009M12";"3";51
"2009M12";"4";71
"2009M12";"5";63
"2009M12";"6";57
"2009M12";"7";64
"2009M12";"8";66
"2009M12";"9";42
"2009M12";"10";62
"2009M12";"11";61
"2009M12";"12";56
"2009M12";"13";42
"2009M12";"14";54
"2009M12";"15";62
"2009M12";"16";66
"2009M12";"17";71
"2009M12";"18";78
"2009M12";"19";52
"2009M12";"20";47
"2009M12";"21";67
"2009M12";"22";54
"2009M12";"23";60
"2009M12";"24";58
"2009M12";"25";42
"2009M12";"26";41
"2009M12";"27";48
"2009M12";"28";66
"2009M12";"29";64
"2009M12";"30";64
"2009M12";"31";48
"2010M01";"1";38
"2010M01";"2";57
"2010M01";"3";49
"2010M01";"4";76
"2010M01";"5";77
"2010M01";"6";59
"2010M01";"7";61
"2010M01";"8";71
"2010M01";"9";51
"2010M01";"10";51
"2010M01";"11";78
"2010M01";"12";64
"2010M01";"13";61
"2010M01";"14";59
"2010M01";"15";67
"2010M01";"16";51
"2010M01";"17";50
"2010M01";"18";62
"2010M01";"19";62
"2010M01";"20";68
"2010M01";"21";78
"2010M01";"22";69
"2010M01";"23";48
"2010M01";"24";48
"2010M01";"25";78
"2010M01";"26";58
"2010M01";"27";54
"2010M01";"28";65
"2010M01";"29";66
"2010M01";"30";49
"2010M01";"31";51
"2010M02";"1";52
"2010M02";"2";65
"2010M02";"3";61
"2010M02";"4";64
"2010M02";"5";75
"2010M02";"6";49
"2010M02";"7";49
"2010M02";"8";56
"2010M02";"9";67
"2010M02";"10";72
"2010M02";"11";79
"2010M02";"12";78
"2010M02";"13";54
"2010M02";"14";59
"2010M02";"15";55
"2010M02";"16";62
"2010M02";"17";58
"2010M02";"18";60
"2010M02";"19";64
"2010M02";"20";52
"2010M02";"21";54
"2010M02";"22";73
"2010M02";"23";81
"2010M02";"24";58
"2010M02";"25";66
"2010M02";"26";66
"2010M02";"27";50
"2010M02";"28";33
"2010M02";"29";-
"2010M02";"30";-
"2010M02";"31";-
"2010M03";"1";71
"2010M03";"2";69
"2010M03";"3";70
"2010M03";"4";72
"2010M03";"5";64
"2010M03";"6";45
"2010M03";"7";45
"2010M03";"8";62
"2010M03";"9";66
"2010M03";"10";65
"2010M03";"11";78
"2010M03";"12";64
"2010M03";"13";54
"2010M03";"14";51
"2010M03";"15";69
"2010M03";"16";67
"2010M03";"17";59
"2010M03";"18";55
"2010M03";"19";75
"2010M03";"20";62
"2010M03";"21";48
"2010M03";"22";52
"2010M03";"23";49
"2010M03";"24";60
"2010M03";"25";68
"2010M03";"26";74
"2010M03";"27";62
"2010M03";"28";46
"2010M03";"29";67
"2010M03";"30";51
"2010M03";"31";58
"2010M04";"1";61
"2010M04";"2";70
"2010M04";"3";54
"2010M04";"4";48
"2010M04";"5";38
"2010M04";"6";60
"2010M04";"7";66
"2010M04";"8";60
"2010M04";"9";75
"2010M04";"10";53
"2010M04";"11";46
"2010M04";"12";70
"2010M04";"13";55
"2010M04";"14";67
"2010M04";"15";75
"2010M04";"16";76
"2010M04";"17";46
"2010M04";"18";46
"2010M04";"19";57
"2010M04";"20";61
"2010M04";"21";61
"2010M04";"22";65
"2010M04";"23";70
"2010M04";"24";38
"2010M04";"25";53
"2010M04";"26";67
"2010M04";"27";48
"2010M04";"28";66
"2010M04";"29";72
"2010M04";"30";51
"2010M04";"31";-
"2010M05";"1";46
"2010M05";"2";54
"2010M05";"3";56
"2010M05";"4";66
"2010M05";"5";60
"2010M05";"6";71
"2010M05";"7";77
"2010M05";"8";63
"2010M05";"9";41
"2010M05";"10";79
"2010M05";"11";67
"2010M05";"12";60
"2010M05";"13";59
"2010M05";"14";70
"2010M05";"15";57
"2010M05";"16";42
"2010M05";"17";70
"2010M05";"18";63
"2010M05";"19";63
"2010M05";"20";68
"2010M05";"21";61
"2010M05";"22";48
"2010M05";"23";43
"2010M05";"24";64
"2010M05";"25";75
"2010M05";"26";61
"2010M05";"27";73
"2010M05";"28";59
"2010M05";"29";43
"2010M05";"30";52
"2010M05";"31";52
"2010M06";"1";76
"2010M06";"2";74
"2010M06";"3";60
"2010M06";"4";76
"2010M06";"5";52
"2010M06";"6";48
"2010M06";"7";69
"2010M06";"8";58
"2010M06";"9";56
"2010M06";"10";61
"2010M06";"11";72
"2010M06";"12";53
"2010M06";"13";47
"2010M06";"14";62
"2010M06";"15";60
"2010M06";"16";57
"2010M06";"17";66
"2010M06";"18";69
"2010M06";"19";56
"2010M06";"20";41
"2010M06";"21";62
"2010M06";"22";61
"2010M06";"23";64
"2010M06";"24";68
"2010M06";"25";41
"2010M06";"26";60
"2010M06";"27";56
"2010M06";"28";61
"2010M06";"29";78
"2010M06";"30";80
"2010M06";"31";-
"2010M07";"1";77
"2010M07";"2";88
"2010M07";"3";50
"2010M07";"4";62
"2010M07";"5";66
"2010M07";"6";69
"2010M07";"7";55
"2010M07";"8";65
"2010M07";"9";72
"2010M07";"10";39
"2010M07";"11";45
"2010M07";"12";74
"2010M07";"13";62
"2010M07";"14";84
"2010M07";"15";58
"2010M07";"16";61
"2010M07";"17";50
"2010M07";"18";45
"2010M07";"19";48
"2010M07";"20";64
"2010M07";"21";76
"2010M07";"22";80
"2010M07";"23";74
"2010M07";"24";53
"2010M07";"25";56
"2010M07";"26";75
"2010M07";"27";72
"2010M07";"28";78
"2010M07";"29";54
"2010M07";"30";76
"2010M07";"31";63
"2010M08";"1";53
"2010M08";"2";81
"2010M08";"3";72
"2010M08";"4";65
"2010M08";"5";60
"2010M08";"6";73
"2010M08";"7";48
"2010M08";"8";50
"2010M08";"9";59
"2010M08";"10";64
"2010M08";"11";74
"2010M08";"12";51
"2010M08";"13";68
"2010M08";"14";53
"2010M08";"15";58
"2010M08";"16";73
"2010M08";"17";71
"2010M08";"18";64
"2010M08";"19";62
"2010M08";"20";66
"2010M08";"21";51
"2010M08";"22";42
"2010M08";"23";69
"2010M08";"24";63
"2010M08";"25";60
"2010M08";"26";54
"2010M08";"27";71
"2010M08";"28";55
"2010M08";"29";44
"2010M08";"30";69
"2010M08";"31";64
"2010M09";"1";58
"2010M09";"2";68
"2010M09";"3";77
"2010M09";"4";56
"2010M09";"5";57
"2010M09";"6";85
"2010M09";"7";67
"2010M09";"8";74
"2010M09";"9";69
"2010M09";"10";54
"2010M09";"11";49
"2010M09";"12";57
"2010M09";"13";61
"2010M09";"14";55
"2010M09";"15";79
"2010M09";"16";69
"2010M09";"17";62
"2010M09";"18";61
"2010M09";"19";46
"2010M09";"20";90
"2010M09";"21";85
"2010M09";"22";83
"2010M09";"23";68
"2010M09";"24";58
"2010M09";"25";61
"2010M09";"26";47
"2010M09";"27";85
"2010M09";"28";71
"2010M09";"29";64
"2010M09";"30";63
"2010M09";"31";-
"2010M10";"1";77
"2010M10";"2";58
"2010M10";"3";53
"2010M10";"4";63
"2010M10";"5";51
"2010M10";"6";72
"2010M10";"7";80
"2010M10";"8";83
"2010M10";"9";35
"2010M10";"10";47
"2010M10";"11";70
"2010M10";"12";65
"2010M10";"13";67
"2010M10";"14";49
"2010M10";"15";74
"2010M10";"16";60
"2010M10";"17";38
"2010M10";"18";50
"2010M10";"19";87
"2010M10";"20";82
"2010M10";"21";60
"2010M10";"22";69
"2010M10";"23";52
"2010M10";"24";51
"2010M10";"25";67
"2010M10";"26";76
"2010M10";"27";66
"2010M10";"28";68
"2010M10";"29";76
"2010M10";"30";59
"2010M10";"31";53
"2010M11";"1";39
"2010M11";"2";51
"2010M11";"3";56
"2010M11";"4";65
"2010M11";"5";80
"2010M11";"6";51
"2010M11";"7";49
"2010M11";"8";82
"2010M11";"9";61
"2010M11";"10";62
"2010M11";"11";72
"2010M11";"12";79
"2010M11";"13";45
"2010M11";"14";47
"2010M11";"15";62
"2010M11";"16";59
"2010M11";"17";61
"2010M11";"18";55
"2010M11";"19";59
"2010M11";"20";44
"2010M11";"21";49
"2010M11";"22";57
"2010M11";"23";56
"2010M11";"24";54
"2010M11";"25";56
"2010M11";"26";78
"2010M11";"27";51
"2010M11";"28";39
"2010M11";"29";74
"2010M11";"30";66
"2010M11";"31";-
"2010M12";"1";58
"2010M12";"2";65
"2010M12";"3";64
"2010M12";"4";48
"2010M12";"5";48
"2010M12";"6";64
"2010M12";"7";56
"2010M12";"8";68
"2010M12";"9";59
"2010M12";"10";63
"2010M12";"11";55
"2010M12";"12";41
"2010M12";"13";58
"2010M12";"14";62
"2010M12";"15";59
"2010M12";"16";60
"2010M12";"17";64
"2010M12";"18";40
"2010M12";"19";40
"2010M12";"20";62
"2010M12";"21";72
"2010M12";"22";62
"2010M12";"23";81
"2010M12";"24";71
"2010M12";"25";45
"2010M12";"26";42
"2010M12";"27";65
"2010M12";"28";48
"2010M12";"29";60
"2010M12";"30";61
"2010M12";"31";40
"2011M01";"1";47
"2011M01";"2";43
"2011M01";"3";65
"2011M01";"4";73
"2011M01";"5";59
"2011M01";"6";76
"2011M01";"7";58
"2011M01";"8";53
"2011M01";"9";55
"2011M01";"10";71
"2011M01";"11";60
"2011M01";"12";59
"2011M01";"13";58
"2011M01";"14";89
"2011M01";"15";41
"2011M01";"16";46
"2011M01";"17";56
"2011M01";"18";62
"2011M01";"19";60
"2011M01";"20";74
"2011M01";"21";86
"2011M01";"22";51
"2011M01";"23";56
"2011M01";"24";46
"2011M01";"25";77
"2011M01";"26";59
"2011M01";"27";54
"2011M01";"28";73
"2011M01";"29";42
"2011M01";"30";48
"2011M01";"31";71
"2011M02";"1";72
"2011M02";"2";62
"2011M02";"3";65
"2011M02";"4";70
"2011M02";"5";55
"2011M02";"6";36
"2011M02";"7";53
"2011M02";"8";51
"2011M02";"9";59
"2011M02";"10";67
"2011M02";"11";60
"2011M02";"12";36
"2011M02";"13";56
"2011M02";"14";65
"2011M02";"15";57
"2011M02";"16";60
"2011M02";"17";52
"2011M02";"18";59
"2011M02";"19";45
"2011M02";"20";43
"2011M02";"21";56
"2011M02";"22";58
"2011M02";"23";64
"2011M02";"24";81
"2011M02";"25";63
"2011M02";"26";46
"2011M02";"27";48
"2011M02";"28";64
"2011M02";"29";-
"2011M02";"30";-
"2011M02";"31";-
"2011M03";"1";60
"2011M03";"2";45
"2011M03";"3";63
"2011M03";"4";73
"2011M03";"5";42
"2011M03";"6";46
"2011M03";"7";71
"2011M03";"8";57
"2011M03";"9";57
"2011M03";"10";69
"2011M03";"11";64
"2011M03";"12";47
"2011M03";"13";56
"2011M03";"14";73
"2011M03";"15";58
"2011M03";"16";50
"2011M03";"17";71
"2011M03";"18";62
"2011M03";"19";43
"2011M03";"20";51
"2011M03";"21";68
"2011M03";"22";60
"2011M03";"23";56
"2011M03";"24";54
"2011M03";"25";65
"2011M03";"26";58
"2011M03";"27";45
"2011M03";"28";60
"2011M03";"29";67
"2011M03";"30";58
"2011M03";"31";66
"2011M04";"1";74
"2011M04";"2";37
"2011M04";"3";52
"2011M04";"4";66
"2011M04";"5";53
"2011M04";"6";56
"2011M04";"7";63
"2011M04";"8";78
"2011M04";"9";48
"2011M04";"10";57
"2011M04";"11";61
"2011M04";"12";55
"2011M04";"13";61
"2011M04";"14";68
"2011M04";"15";60
"2011M04";"16";45
"2011M04";"17";55
"2011M04";"18";52
"2011M04";"19";52
"2011M04";"20";62
"2011M04";"21";72
"2011M04";"22";71
"2011M04";"23";50
"2011M04";"24";52
"2011M04";"25";63
"2011M04";"26";86
"2011M04";"27";56
"2011M04";"28";71
"2011M04";"29";68
"2011M04";"30";46
"2011M04";"31";-
"2011M05";"1";62
"2011M05";"2";39
"2011M05";"3";55
"2011M05";"4";68
"2011M05";"5";66
"2011M05";"6";68
"2011M05";"7";65
"2011M05";"8";47
"2011M05";"9";59
"2011M05";"10";51
"2011M05";"11";61
"2011M05";"12";59
"2011M05";"13";56
"2011M05";"14";45
"2011M05";"15";34
"2011M05";"16";77
"2011M05";"17";49
"2011M05";"18";78
"2011M05";"19";64
"2011M05";"20";75
"2011M05";"21";52
"2011M05";"22";54
"2011M05";"23";66
"2011M05";"24";58
"2011M05";"25";79
"2011M05";"26";68
"2011M05";"27";60
"2011M05";"28";46
"2011M05";"29";25
"2011M05";"30";70
"2011M05";"31";73
"2011M06";"1";59
"2011M06";"2";64
"2011M06";"3";52
"2011M06";"4";42
"2011M06";"5";62
"2011M06";"6";45
"2011M06";"7";64
"2011M06";"8";66
"2011M06";"9";65
"2011M06";"10";58
"2011M06";"11";44
"2011M06";"12";49
"2011M06";"13";62
"2011M06";"14";59
"2011M06";"15";56
"2011M06";"16";78
"2011M06";"17";60
"2011M06";"18";62
"2011M06";"19";39
"2011M06";"20";61
"2011M06";"21";70
"2011M06";"22";65
"2011M06";"23";57
"2011M06";"24";74
"2011M06";"25";43
"2011M06";"26";50
"2011M06";"27";73
"2011M06";"28";71
"2011M06";"29";67
